"name","stat","opt","value","lb","gap.bkv.","gap.lb.","time","nodes","iterations","type"
"ARC83.IN2-3786","INF","SUB",NA,NA,NA,NA,600.06,368984,11864858,"PA1"
"ARC83.IN2-3985","INF","SUB",NA,NA,NA,NA,600.02,774760,8443746,"PA1"
"ARC83.IN2-4206","PROV","OPT",19,19,0,0,320.64,374033,8717277,"PA1"
"ARC83.IN2-4454","PROV","OPT",18,18,0,0,21.42,6532,309009,"PA1"
"ARC83.IN2-4732","PROV","OPT",17,17,0,0,184.49,154414,4784992,"PA1"
"ARC83.IN2-5048","PROV","OPT",16,16,0,0,18.79,10289,243658,"PA1"
"ARC83.IN2-5408","PROV","OPT",15,15,0,0,195.33,275585,4457863,"PA1"
"ARC83.IN2-5824","PROV","OPT",14,14,0,0,10.26,4598,132452,"PA1"
"ARC83.IN2-5853","PROV","OPT",14,14,0,0,12.32,4545,156423,"PA1"
"ARC83.IN2-6309","PROV","OPT",13,13,0,0,5.52,3286,94473,"PA1"
"ARC83.IN2-6842","PROV","OPT",12,12,0,0,147.51,178028,4634562,"PA1"
"ARC83.IN2-6883","PROV","OPT",12,12,0,0,11.51,4248,127070,"PA1"
"ARC83.IN2-7571","PROV","OPT",11,11,0,0,1.82,1491,36726,"PA1"
"ARC83.IN2-8412","PROV","OPT",10,10,0,0,1.17,1140,22990,"PA1"
"ARC83.IN2-8898","PROV","OPT",9,9,0,0,0.36,0,2097,"PA1"
"ARC83.IN2-10816","PROV","OPT",8,8,0,0,24.36,57680,798895,"PA1"
"ARC111.IN2-5755","PROV","OPT",27,27,0,0,39.28,46707,422610,"PA1"
"ARC111.IN2-5785","PROV","OPT",27,27,0,0,4.36,944,27505,"PA1"
"ARC111.IN2-6016","PROV","OPT",26,26,0,0,73.1,84642,832754,"PA1"
"ARC111.IN2-6267","PROV","OPT",25,25,0,0,11.37,4039,135814,"PA1"
"ARC111.IN2-6540","PROV","OPT",24,24,0,0,4.89,869,54226,"PA1"
"ARC111.IN2-6837","PROV","OPT",23,23,0,0,4.77,1171,44298,"PA1"
"ARC111.IN2-7162","PROV","OPT",22,22,0,0,7.18,3567,56022,"PA1"
"ARC111.IN2-7520","FEAS","OPT",21,20,0,0,600.01,921100,15878415,"PA1"
"ARC111.IN2-7916","PROV","OPT",20,20,0,0,6.23,1769,75462,"PA1"
"ARC111.IN2-8356","PROV","OPT",19,19,0,0,2.37,908,23231,"PA1"
"ARC111.IN2-8847","PROV","OPT",18,18,0,0,5.18,1655,43897,"PA1"
"ARC111.IN2-9400","PROV","OPT",17,17,0,0,6.03,1639,71426,"PA1"
"ARC111.IN2-10027","PROV","OPT",16,16,0,0,4.5,1628,39363,"PA1"
"ARC111.IN2-10743","PROV","OPT",15,15,0,0,27.22,72827,662780,"PA1"
"ARC111.IN2-11378","PROV","OPT",14,14,0,0,2.27,1110,36476,"PA1"
