"name","c","stat","opt","value","lb","time","nodes","iterations"
"ARC83",3786,"PROV","OPT",41,41,0.1,0,214
"ARC83",3985,"PROV","OPT",41,41,0.09,0,182
"ARC83",4206,"PROV","OPT",41,41,0.1,0,238
"ARC83",4454,"PROV","OPT",41,41,0.1,0,186
"ARC83",4732,"PROV","OPT",41,41,0.09,0,158
"ARC83",5048,"PROV","OPT",41,41,0.09,0,85
"ARC83",5408,"PROV","OPT",41,41,0.05,0,3
"ARC83",5824,"PROV","OPT",41,41,0.05,0,1
"ARC83",5853,"PROV","OPT",41,41,0.05,0,1
"ARC83",6309,"PROV","OPT",41,41,0.05,0,0
"ARC83",6842,"PROV","OPT",41,41,0.05,0,0
"ARC83",6883,"PROV","OPT",41,41,0.05,0,0
"ARC83",7571,"PROV","OPT",41,41,0.05,0,0
"ARC83",8412,"PROV","OPT",41,41,0.04,0,0
"ARC83",8898,"PROV","OPT",41,41,0.05,0,0
"ARC83",10816,"PROV","OPT",41,41,0.04,0,0
"ARC111",5755,"PROV","OPT",31,31,3.22,661,25596
"ARC111",5785,"PROV","OPT",31,31,1.54,60,4683
"ARC111",6016,"PROV","OPT",30,30,4.95,230,22383
"ARC111",6267,"PROV","OPT",29,29,13.28,8910,120993
"ARC111",6540,"PROV","OPT",29,29,2.77,0,7228
"ARC111",6837,"PROV","OPT",29,29,1.77,232,7886
"ARC111",7162,"PROV","OPT",27,27,0.91,63,2649
"ARC111",7520,"PROV","OPT",27,27,0.52,0,1351
"ARC111",7916,"PROV","OPT",27,27,0.26,0,973
"ARC111",8356,"PROV","OPT",26,26,0.2,0,735
"ARC111",8847,"PROV","OPT",26,26,0.15,0,638
"ARC111",9400,"PROV","OPT",26,26,0.09,0,376
"ARC111",10027,"PROV","OPT",26,26,0.06,0,267
"ARC111",10743,"PROV","OPT",26,26,0.07,0,260
"ARC111",11378,"PROV","OPT",26,26,0.05,0,89
"ARC111",11570,"PROV","OPT",26,26,0.06,0,93
"ARC111",17067,"PROV","OPT",26,26,0.03,0,0
"BARTHOL2",84,"FEAS","SUB",52,51,7200,155875,19762908
"BARTHOL2",85,"FEAS","SUB",52,50,7200.01,57624,12619670
"BARTHOL2",87,"FEAS","SUB",50,49,7200.01,130855,30621587
"BARTHOL2",89,"FEAS","SUB",49,48,7200,307404,27423916
"BARTHOL2",91,"FEAS","SUB",48,47,7200,235311,22762270
"BARTHOL2",93,"FEAS","SUB",47,46,7200,876930,45446860
"BARTHOL2",95,"FEAS","SUB",46,45,7200,200498,26949332
"BARTHOL2",97,"FEAS","SUB",45,44,7200,213679,24906825
"BARTHOL2",99,"FEAS","SUB",44,43,7200,206400,35824433
"BARTHOL2",101,"FEAS","SUB",43,42,7200,194275,23425907
"BARTHOL2",104,"FEAS","SUB",42,41,7200,214427,23628795
"BARTHOL2",106,"FEAS","SUB",41,40,7200,609646,42974868
"BARTHOL2",109,"FEAS","SUB",40,39,7200,176264,25977335
"BARTHOL2",112,"FEAS","SUB",39,38,7200,249335,37427085
"BARTHOL2",115,"FEAS","SUB",38,37,7200,672231,47747827
"BARTHOL2",118,"FEAS","SUB",37,36,7200,897498,45333717
"BARTHOL2",121,"FEAS","SUB",36,35,7200,218454,38690733
"BARTHOL2",125,"FEAS","SUB",35,34,7200,390502,45683855
"BARTHOL2",129,"FEAS","SUB",34,33,7200.01,430707,47996899
"BARTHOL2",133,"FEAS","SUB",33,32,7200,301569,45850961
"BARTHOL2",137,"PROV","OPT",32,32,5.29,320,8013
"BARTHOL2",142,"PROV","OPT",32,32,2.58,0,3316
"BARTHOL2",146,"PROV","OPT",32,32,2.25,0,2266
"BARTHOL2",152,"PROV","OPT",32,32,1.27,0,1431
"BARTHOL2",157,"PROV","OPT",32,32,1.68,0,2201
"BARTHOL2",163,"PROV","OPT",31,31,0.68,0,1112
"BARTHOL2",170,"PROV","OPT",31,31,0.83,0,1043
"BARTHOLD",403,"PROV","OPT",31,31,0.21,0,635
"BARTHOLD",434,"PROV","OPT",31,31,0.2,0,592
"BARTHOLD",470,"PROV","OPT",31,31,0.25,0,474
"BARTHOLD",513,"PROV","OPT",31,31,0.21,0,405
"BARTHOLD",564,"PROV","OPT",31,31,0.15,0,297
"BARTHOLD",626,"PROV","OPT",31,31,0.21,0,290
"BARTHOLD",705,"PROV","OPT",31,31,0.1,0,0
"BARTHOLD",805,"PROV","OPT",31,31,0.1,0,0
"BOWMAN8",20,"PROV","OPT",5,5,0,0,0
"BUXEY",27,"PROV","OPT",14,14,0.07,0,461
"BUXEY",30,"PROV","OPT",13,13,0.05,0,494
"BUXEY",33,"PROV","OPT",12,12,0.01,0,85
"BUXEY",36,"PROV","OPT",11,11,0.01,0,28
"BUXEY",41,"PROV","OPT",11,11,0.01,0,4
"BUXEY",47,"PROV","OPT",11,11,0,0,0
"BUXEY",54,"PROV","OPT",11,11,0,0,0
"GUNTHER",41,"PROV","OPT",16,16,0.03,0,94
"GUNTHER",44,"PROV","OPT",16,16,0.03,0,151
